From	To
Q8N4H0	Q8N4H0
O95715	O95715
O43776	O43776
P82251	P82251
P18510	P18510
Q6ZUT1	Q6ZUT1
Q6IC98	Q6IC98
Q9HCJ5	Q9HCJ5
P25325	P25325
P41970	P41970
Q0VDG4	Q0VDG4
A8MYJ7	A8MYJ7
A2J422	A2J422
Q9Y5L4	Q9Y5L4
P17031	P17031
O60443	O60443
W5XKT8	W5XKT8
Q8IWD4	Q8IWD4
A0PJ87	A0PJ87
Q5T5C0	Q5T5C0
Q8IWV1	Q8IWV1
Q8TAD7	Q8TAD7
Q9BZW5	Q9BZW5
Q9H7X2	Q9H7X2
A0A087WSW0	A0A087WSW0
Q14103	Q14103
Q96P31	Q96P31
O75083	O75083
Q96AP0	Q96AP0
Q08E93	Q08E93
B5MCE7	B5MCE7
Q92967	Q92967
Q96EB1	Q96EB1
Q5SYE7	Q5SYE7
P81605	P81605
Q6P4A8	Q6P4A8
P36021	P36021
Q9H609	Q9H609
Q06278	Q06278
Q5T670	Q5T670
Q8IWT3	Q8IWT3
P56278	P56278
Q96TA1	Q96TA1
Q12766	Q12766
Q8WVC2	Q8WVC2
Q68D91	Q68D91
J3KS81	J3KS81
O43719	O43719
P54793	P54793
Q9NUP7	Q9NUP7
Q9UHD8	Q9UHD8
P01574	P01574
Q7Z3C6	Q7Z3C6
Q8TBG9	Q8TBG9
P27482	P27482
O43716	O43716
Q57ZY3	Q8NEG5
C9JYE9	C9JYE9
Q8IZ83	Q8IZ83
Q9UBP5	Q9UBP5
Q9BS31	Q9BS31
P26651	P26651
E9PBL8	E9PBL8
Q15466	Q15466
A0A024R5S0	A0A024R5S0
O95373	O95373
Q16617	Q16617
P48449	P48449
Q8NI35	Q8NI35
Q9UNH6	Q9UNH6
Q9BTC0	Q9BTC0
Q96A05	Q96A05
P18545	P18545
P11230	P11230
Q15853	Q15853
E5KN55	E5KN55
Q8TAB3	Q8TAB3
B5MDF5	B5MDF5
Q6IPR3	Q6IPR3
P51451	P51451
P02461	P02461
Q9UQR0	Q9UQR0
Q5TCQ9	Q5TCQ9
Q4G0X4	Q4G0X4
O60356	O60356
Q9GZN1	Q9GZN1
A8K3Z6	A8K3Z6
P05013	P05013
Q13797	Q13797
P31949	P31949
A0A0B4J1Y2	A0A0B4J1Y2
Q06S70	Q06S70
Q04828	Q04828
Q2TB10	Q2TB10
Q8TAS1	Q8TAS1
Q86SQ0	Q86SQ0
F8W1R7	F8W1R7
P05305	P05305
B4DEH8	B4DEH8
F6TR53	F6TR53
P09467	P09467
Q8IZD2	Q8IZD2
Q96H40	Q96H40
O75427	O75427
Q07955	Q07955
Q9BXM0	Q9BXM0
A6NEM1	A6NEM1
O14684	O14684
F2Z2U4	F2Z2U4
P26367	P26367
O75564	O75564
Q86V48	Q86V48
P08581	P08581
P41235	P41235
O15105	O15105
P18075	P18075
Q8N3K9	Q8N3K9
Q8TEA7	Q8TEA7
O14530	O14530
Q86VX2	Q86VX2
B2RDP6	B2RDP6
P21453	P21453
P49750	P49750
P48745	P48745
Q8TAP9	Q8TAP9
P60763	P60763
P62308	P62308
Q9H0I3	Q9H0I3
O75335	O75335
Q3SY69	Q3SY69
Q9BYR2	Q9BYR2
Q9Y4F9	Q9Y4F9
Q2F837	Q2F837
Q15006	Q15006
P61916	P61916
O75363	O75363
P61077	P61077
Q9Y5S2	Q9Y5S2
P14625	P14625
Q8N349	Q8N349
Q12982	Q12982
Q12955	Q12955
Q6ZRY4	Q6ZRY4
Q86WV6	Q86WV6
P37837	P37837
Q14002	Q14002
O15232	O15232
B3KT93	B3KT93
O96015	O96015
Q5TCX8	Q5TCX8
P04643	P62282
P04643	P62280
P04643	P62281
Q08493	Q08493
Q6ZVA0	Q6ZVA0
P62745	P62745
Q9BRL5	Q9BRL5
Q8TDR2	Q8TDR2
Q15814	Q15814
Q6ZUC8	Q6ZUC8
Q8WYR4	Q8WYR4
Q8NEP9	Q8NEP9
Q6ZNE5	Q6ZNE5
O75478	O75478
Q07973	Q07973
A6NEK1	A6NEK1
Q9H6D8	Q9H6D8
Q96H86	Q96H86
P27635	P27635
P16401	P16401
Q8WW18	Q8WW18
Q5SRE5	Q5SRE5
P32238	P32238
Q9NWW5	Q9NWW5
Q8TDM6	Q8TDM6
Q3B820	Q3B820
Q5QP82	Q5QP82
P43628	P43628
P43003	P43003
Q7Z7M0	Q7Z7M0
E7ETE0	B3KW44
Q8TAQ5	Q8TAQ5
P86481	P86481
Q8IXI1	Q8IXI1
P23588	P23588
B7ZBB8	B7ZBB8
Q6ZRH7	Q6ZRH7
Q96H55	Q96H55
Q9H8W4	Q9H8W4
P20774	P20774
P28845	P28845
Q9Y248	Q9Y248
Q9UHI7	Q9UHI7
A0PK05	A0PK05
Q0P5Q0	Q0P5Q0
Q9C040	Q9C040
P60328	P60328
P47902	P47902
P17600	P17600
Q8N9U0	Q8N9U0
Q8IVT2	Q8IVT2
Q9UQN3	Q9UQN3
Q8TB52	Q8TB52
P31513	P31513
Q9BXM9	Q9BXM9
P28472	P28472
Q9Y2Q5	Q9Y2Q5
Q9BU61	Q9BU61
Q29960	P10321
P07306	P07306
Q9H5V9	Q9H5V9
Q9NQ38	Q9NQ38
Q16832	Q16832
P20815	P20815
Q6PJG6	Q6PJG6
Q8TBF2	Q8TBF2
Q9UGP5	Q9UGP5
O43157	O43157
P78410	P78410
Q8N1L9	Q8N1L9
Q8WWH4	Q8WWH4
O96008	O96008
Q9ULW8	Q9ULW8
Q86X40	Q86X40
P08237	P08237
P49006	P49006
Q6IBT3	Q6IBT3
Q03060	Q03060
Q9H853	Q9H853
Q9UBR1	Q9UBR1
Q96QZ0	Q96QZ0
P35713	P35713
Q99700	Q99700
Q9UMS0	Q9UMS0
Q9HCL0	Q9HCL0
Q3B7T1	Q3B7T1
P27930	P27930
Q08499	Q08499
Q8WW81	Q8WW81
O15392	O15392
P12544	P12544
O75815	O75815
P78317	P78317
Q96M94	Q96M94
Q9Y6M7	Q9Y6M7
O75152	O75152
Q9UBH6	Q9UBH6
P35610	P35610
Q96PK0	Q96PK0
P10635	P10635
P84996	P84996
P28289	P28289
Q8IWY9	Q8IWY9
P01571	P01571
Q96GM1	Q96GM1
O43741	O43741
E9PMP7	E9PMP7
O14646	O14646
Q2KHM9	Q2KHM9
Q96N03	Q96N03
Q9NTW7	Q9NTW7
P54849	P54849
Q6P4J0	Q6P4J0
A0JNW5	A0JNW5
P19404	P19404
P60201	P60201
Q9NQX3	Q9NQX3
O15321	O15321
Q5T2W1	Q5T2W1
Q5VVM6	Q5VVM6
O43187	O43187
O00754	O00754
Q9UPY3	Q9UPY3
Q92820	Q92820
Q9UGN4	Q9UGN4
Q9NR21	Q9NR21
P01563	P01563
O15428	O15428
O60784	O60784
Q5HY98	Q5HY98
Q96AQ6	Q96AQ6
Q9NRP0	Q9NRP0
Q99942	Q99942
Q9H0X6	Q9H0X6
Q9NYP9	Q9NYP9
O43516	O43516
Q96MI6	Q96MI6
P05023	P05023
Q53QV2	Q53QV2
Q8TEA8	Q8TEA8
Q9Y3B6	Q9Y3B6
Q86WV7	Q86WV7
P10301	P10301
P40337	P40337
Q6P088	Q6P088
Q5JRG1	Q5JRG1
Q6P179	Q6P179
Q8WW12	Q8WW12
Q8NAJ2	Q8NAJ2
Q7Z6A9	Q7Z6A9
Q9UPW5	Q9UPW5
Q9Y2Z2	Q9Y2Z2
Q6UXU4	Q6UXU4
O14681	O14681
P20333	P20333
Q9NZM3	Q9NZM3
Q9NXB0	Q9NXB0
P19823	P19823
Q16625	Q16625
B7Z2W3	B7Z2W3
P23469	P23469
Q96RY5	Q96RY5
Q86X10	Q86X10
O14492	O14492
Q13404	Q13404
Q9UN42	Q9UN42
O75891	O75891
Q5RGS3	Q5RGS3
P47929	P47929
Q9NRM2	Q9NRM2
Q9BTX3	Q9BTX3
Q99836	Q99836
Q2M2Z5	Q2M2Z5
Q68DG8	Q68DG8
P08648	P08648
Q6ZUH1	Q6ZUH1
Q16690	Q16690
Q15041	Q15041
Q6NZ44	Q6NZ44
Q15185	Q15185
P13385	P13385
P23497	P23497
Q9BUB7	Q9BUB7
Q7L2E3	Q7L2E3
Q8N5U0	Q8N5U0
Q6ZVM7	Q6ZVM7
Q9BV07	Q9BV07
P13725	P13725
Q6NXR4	Q6NXR4
Q5SSJ5	Q5SSJ5
Q92990	Q92990
O14656	O14656
P22003	P22003
Q5NV56	Q5NV56
Q8NI36	Q8NI36
Q13487	Q13487
Q6N075	Q6N075
P48146	P48146
Q8IXW7	Q8IXW7
B4DVN3	B4DVN3
Q8IU68	Q8IU68
Q13472	Q13472
P56748	P56748
H3BTS1	H3BTS1
Q9UKP3	Q9UKP3
Q9NX70	Q9NX70
Q53GG5	Q53GG5
Q9BVC5	Q9BVC5
Q9NZT1	Q9NZT1
Q15047	Q15047
Q9C0E2	Q9C0E2
Q02809	Q02809
A6NCQ9	A6NCQ9
Q8IXH7	Q8IXH7
Q6LES2	P09525
A8K7Q2	A8K7Q2
P26371	P26371
Q9BXS5	Q9BXS5
P78332	P78332
Q15434	Q15434
Q9H633	Q9H633
P82650	P82650
P98073	P98073
O00634	O00634
P32321	P32321
Q7Z4W1	Q7Z4W1
O43193	O43193
A8K8Y5	A8K8Y5
P17540	P17540
Q8N6L0	Q8N6L0
Q17R99	Q9NVL8
O94855	O94855
P05556	P05556
P14416	P14416
P21359	P21359
P41218	P41218
A9UEZ6	A9UEZ6
Q6UWT2	Q6UWT2
Q8IX05	Q8IX05
P62314	P62314
Q9NT68	Q9NT68
Q53F19	Q53F19
C9JQV0	C9JQV0
O15075	O15075
P59998	P59998
Q9NSP4	Q9NSP4
Q8N5Y8	Q8N5Y8
Q49B96	Q49B96
Q9Y371	Q9Y371
Q6UXH8	Q6UXH8
B5BUE6	B5BUE6
Q9BZ11	Q9BZ11
Q5T7M9	Q5T7M9
O15353	O15353
Q5JSZ5	Q5JSZ5
Q9NYZ2	Q9NYZ2
P10588	P10588
J3KNK1	J3KNK1
Q969P6	Q969P6
P35579	P35579
Q9BXN2	Q9BXN2
Q6ZU80	Q6ZU80
E7ERJ7	E7ERJ7
Q8TCP9	Q8TCP9
Q9NRX4	Q9NRX4
Q9NVS9	Q9NVS9
P31146	P31146
Q8IUF1	Q8IUF1
O15427	O15427
P35575	P35575
Q9BQE4	Q9BQE4
Q7Z2Z1	Q7Z2Z1
P55081	P55081
Q15849	Q15849
Q9NVY6	Q9NVY6
Q9Y5Z0	Q9Y5Z0
Q8NG41	Q8NG41
Q9NZ42	Q9NZ42
Q92953	Q92953
Q16611	Q16611
P18124	P18124
Q8WU20	Q8WU20
Q5SXM8	Q5SXM8
Q6WN34	Q6WN34
Q59F66	Q59F66
Q3KP44	Q3KP44
Q8NGM9	Q8NGM9
P26358	P26358
Q8TEL6	Q8TEL6
Q16635	Q16635
Q13087	Q13087
Q9Y5N6	Q9Y5N6
O00479	O00479
A0A5E8	A0A5E8
Q9HAK2	Q9HAK2
Q5ULA9	Q5ULA9
Q96B86	Q96B86
P57682	P57682
Q6EEV6	Q6EEV6
Q6P3X3	Q6P3X3
Q96PU4	Q96PU4
O60242	O60242
Q96DP5	Q96DP5
Q6P4R8	Q6P4R8
C6KE32	C6KE32
Q12907	Q12907
Q6ZNG1	Q6ZNG1
Q9UHL9	Q9UHL9
Q5VU62	Q5VU62
Q9NVU7	Q9NVU7
Q86Y37	Q86Y37
P02689	P02689
Q8WWB3	Q8WWB3
O75751	O75751
P0C024	P0C024
Q9NQV5	Q9NQV5
Q13433	Q13433
Q8NI08	Q8NI08
Q12972	Q12972
Q8IZ20	Q8IZ20
P48775	P48775
Q8IZJ3	Q8IZJ3
Q8IX04	Q8IX04
P68543	P68543
P11117	P11117
A2RRP1	A2RRP1
Q96IW2	Q96IW2
Q8WW24	Q8WW24
O15370	O15370
P19099	P19099
Q8NHU0	Q8NHU0
Q96A22	Q96A22
Q9UBC3	Q9UBC3
Q9UIF3	Q9UIF3
Q9BYM8	Q9BYM8
Q9UBI4	Q9UBI4
Q9BS18	Q9BS18
Q8IXN7	Q8IXN7
Q96BF6	Q96BF6
Q9UHP3	Q9UHP3
Q8IWS0	Q8IWS0
P02749	P02749
Q8NF86	Q8NF86
Q9ULC5	Q9ULC5
Q9Y5R8	Q9Y5R8
O95396	O95396
Q9UG63	Q9UG63
Q9NUD9	Q9NUD9
P30447	P04439
Q8TAP6	Q8TAP6
Q6UB35	Q6UB35
P10997	P10997
Q8NBZ0	Q8NBZ0
Q99578	Q99578
O60312	O60312
P10632	P10632
P98153	P98153
Q969T7	Q969T7
Q02846	Q02846
Q9BSF4	Q9BSF4
Q8N5L8	Q8N5L8
Q14642	Q14642
P17014	P17014
Q86XX4	Q86XX4
P30049	P30049
Q9BQ48	Q9BQ48
Q6IQ21	Q6IQ21
P35609	P35609
Q01415	Q01415
Q7Z304	Q7Z304
Q4G0N4	Q4G0N4
Q96IZ0	Q96IZ0
Q9UNY5	Q9UNY5
P42167	P42167
P32970	P32970
P57103	P57103
Q9Y2A4	Q9Y2A4
Q9ULD5	Q9ULD5
Q6ZP95	Q6ZP95
Q9Y2L6	Q9Y2L6
P62280	P62280
P20648	P20648
P25067	P25067
Q9UND3	Q9UND3
O00566	O00566
Q9BSD7	Q9BSD7
Q14210	Q14210
Q8IZ69	Q8IZ69
O60469	O60469
Q5VU97	Q5VU97
Q8NBU5	Q8NBU5
B2RTY4	B2RTY4
Q5T1C6	Q5T1C6
P57053	P57053
P10644	P10644
Q9H6L2	Q9H6L2
Q5JW98	Q5JW98
H0Y5X4	H0Y5X4
Q9UKI8	Q9UKI8
Q15012	Q15012
O00453	O00453
Q8WYQ3	Q8WYQ3
Q8NDV1	Q8NDV1
I3L0N3	I3L0N3
G3V3Y1	G3V3Y1
Q9H920	Q9H920
Q7RTZ2	Q7RTZ2
Q460N3	Q460N3
Q9H8M2	Q9H8M2
Q86YI5	Q86YI5
A2RU49	A2RU49
Q92804	Q92804
Q9NQI0	Q9NQI0
Q5TBT1	Q5TBT1
Q13103	Q13103
Q16665	Q16665
P31358	P31358
O00291	O00291
P24046	P24046
Q9UGM1	Q9UGM1
O94898	O94898
P24941	P24941
Q06055	Q06055
P05546	P05546
A0A0A0MQS8	A0A0A0MQS8
Q9UJQ4	Q9UJQ4
Q9Y2V2	Q9Y2V2
Q99250	Q99250
Q9ULD9	Q9ULD9
Q8N3E9	Q8N3E9
P40259	P40259
Q13402	Q13402
Q13247	Q13247
A8MXP9	A8MXP9
Q9UM00	Q9UM00
P48448	P48448
Q99633	Q99633
Q5H919	Q5H919
O95157	O95157
O94876	O94876
Q96PU9	Q96PU9
O94905	O94905
Q14416	Q14416
Q6L9W6	Q6L9W6
P81172	P81172
P50479	P50479
P28074	P28074
Q15631	Q15631
O75398	O75398
Q8TD06	Q8TD06
Q9Y576	Q9Y576
Q9Y6H6	Q9Y6H6
Q9UGN5	Q9UGN5
Q8TDF5	Q8TDF5
Q07817	Q07817
Q8TEB7	Q8TEB7
Q96AY3	Q96AY3
Q8WX94	Q8WX94
Q14515	Q14515
O14841	O14841
Q9Y692	Q9Y692
Q9BYV9	Q9BYV9
O60494	O60494
Q8TAM6	Q8TAM6
Q96Q04	Q96Q04
Q8N142	Q8N142
P04035	P04035
H0Y4V9	H0Y4V9
Q7Z6J4	Q7Z6J4
Q04323	Q04323
O60936	O60936
Q92759	Q92759
Q6PIY2	Q6PIY2
P17538	P17538
Q6ZP80	Q6ZP80
O75326	O75326
P33991	P33991
Q9HD20	Q9HD20
Q9HBH9	Q9HBH9
Q96GW7	Q96GW7
Q0VG99	Q0VG99
O60341	O60341
Q53H80	Q53H80
Q96RP9	Q96RP9
Q9BSU1	Q9BSU1
Q9NVR5	Q9NVR5
Q92499	Q92499
K7EKC1	P53539
O14593	O14593
Q8N6R0	Q8N6R0
Q96NX5	Q96NX5
B4DXX4	B4DXX4
Q9UBV4	Q9UBV4
Q12983	Q12983
Q9HAD4	Q9HAD4
Q92783	Q92783
Q16555	Q16555
Q9NYZ4	Q9NYZ4
Q9ULT0	Q9ULT0
P14653	P14653
A8MT69	A8MT69
P02814	P02814
Q76B58	Q76B58
O60237	O60237
Q5QJE6	Q5QJE6
O43581	O43581
O43790	O43790
P02747	P02747
Q9H9I0	Q9H9I0
Q9H6S0	Q9H6S0
P14415	P14415
Q96KR4	Q96KR4
Q9BQ69	Q9BQ69
P37059	P37059
Q14268	Q14268
Q13630	Q13630
Q5T751	Q5T751
Q9UHC7	Q9UHC7
Q9NXP7	Q9NXP7
P07992	P07992
O75177	O75177
Q9NZ47	Q9NZ47
J3KQ34	J3KQ34
Q9BZM4	Q9BZM4
O94901	O94901
P02462	P02462
Q5T5S1	Q5T5S1
P50549	P50549
Q53F39	Q53F39
F8W7U8	F8W7U8
Q99541	Q99541
Q16740	Q16740
Q8N398	Q8N398
Q6DHV7	Q6DHV7
Q8IZU0	Q8IZU0
Q9BQE3	Q9BQE3
Q02543	Q02543
P04234	P04234
Q8IZ73	Q8IZ73
Q9H3M7	Q9H3M7
Q9Y613	Q9Y613
Q5T653	Q5T653
Q8N6V9	Q8N6V9
Q8TDX5	Q8TDX5
Q9Y4J8	Q9Y4J8
Q7L3S4	Q7L3S4
Q9ULH7	Q9ULH7
Q8N140	Q8N140
F5H5U2	F5H5U2
Q9NY33	Q9NY33
Q9H426	Q9H426
Q9Y6G5	Q9Y6G5
P51911	P51911
P35573	P35573
Q9UHK0	Q9UHK0
P21802	P21802
Q8WXF2	Q8WXF2
Q9NXK6	Q9NXK6
Q8WWN8	Q8WWN8
Q6P2I7	Q6P2I7
Q6ZV89	Q6ZV89
Q2M3A8	Q2M3A8
Q99706	Q99706
Q6UX01	Q6UX01
P41091	P41091
Q9BSN4	Q9BSN4
F6VEM6	F6VEM6
Q8N4P3	Q8N4P3
Q96D03	Q96D03
Q96EM0	Q96EM0
Q5VSG8	Q5VSG8
E9PK14	E9PK14
Q99698	Q99698
O60507	O60507
Q9NP97	Q9NP97
P41231	P41231
Q9Y2P8	Q9Y2P8
P26368	P26368
Q8TAI1	Q8TAI1
Q9NSE4	Q9NSE4
Q4LDR2	Q4LDR2
Q8N2M4	Q8N2M4
O14633	O14633
Q9NRR6	Q9NRR6
Q6ZNL6	Q6ZNL6
Q86VD1	Q86VD1
O14521	O14521
Q9NPE2	Q9NPE2
P30411	P30411
Q9P021	Q9P021
Q5TB80	Q5TB80
P12004	P12004
Q12771	Q12771
P26842	P26842
Q15418	Q15418
Q9H0U6	Q9H0U6
Q6ISU1	Q6ISU1
Q8NAV1	Q8NAV1
A0A0G2JQ02	A0A0G2JQ02
Q9C010	Q9C010
Q86XA0	Q86XA0
Q96LL9	Q96LL9
Q17R98	Q17R98
Q9HD33	Q9HD33
Q96CW5	Q96CW5
Q14244	Q14244
O00115	O00115
Q9NQT5	Q9NQT5
Q8N988	Q8N988
Q9BQ87	Q9BQ87
P09001	P09001
P05814	P05814
Q6X4W1	Q6X4W1
O75469	O75469
Q6P3W2	Q6P3W2
Q9NRJ3	Q9NRJ3
Q8IXQ5	Q8IXQ5
Q9H0D6	Q9H0D6
Q9ULZ3	Q9ULZ3
Q9NWZ8	Q9NWZ8
Q9Y6I7	Q9Y6I7
P0C881	P0C881
Q6IBE6	Q6IBE6
Q99469	Q99469
O43731	O43731
Q8TCT7	Q8TCT7
Q71U35	Q71U35
Q12872	Q12872
B2R8Z8	B2R8Z8
O00443	O00443
Q9P2B4	Q9P2B4
Q9BWG1	Q9BWG1
Q13882	Q13882
O15432	O15432
Q92947	Q92947
Q9H3V2	Q9H3V2
O75116	O75116
Q9Y5B8	Q9Y5B8
Q96PC3	Q96PC3
Q96FV2	Q96FV2
Q2NKX9	Q2NKX9
Q13686	Q13686
Q86WX3	Q86WX3
P06881	P06881
Q2TBE0	Q2TBE0
Q99538	Q99538
P84077	P84077
B3KQ07	B3KQ07
Q4G1B2	Q4G1B2
O43555	O43555
Q6FI91	Q6FI91
Q9GZP1	Q9GZP1
O60831	O60831
Q9UII5	Q9UII5
Q9NWD8	Q9NWD8
Q6AW86	Q6AW86
Q15049	Q15049
P15090	P15090
P49184	P49184
P46060	P46060
P35268	P35268
Q86UW1	Q86UW1
O43913	O43913
Q8WV41	Q8WV41
Q96AG3	Q96AG3
P35212	P35212
B0QZ18	B0QZ18
Q8IZV5	Q8IZV5
Q8IW55	Q8IVH2
Q9Y5K1	Q9Y5K1
Q0VDI3	Q0VDI3
P20702	P20702
O00253	O00253
Q13601	Q13601
P08887	P08887
Q8NI29	Q8NI29
Q99459	Q99459
Q5U077	Q5U077
Q9NSD7	Q9NSD7
Q8NFW5	Q8NFW5
P55042	P55042
Q07820	Q07820
Q9H6A0	Q9H6A0
Q86Z20	Q86Z20
Q5RKV6	Q5RKV6
P40926	P40926
P29353	P29353
P62508	P62508
P61586	P61586
Q99965	Q99965
Q9Y5Z7	Q9Y5Z7
Q9BYX4	Q9BYX4
Q8WUH6	Q8WUH6
Q8WV16	Q8WV16
A0AV96	A0AV96
Q16352	Q16352
Q8NI28	Q8NI28
Q9NZD8	Q9NZD8
Q494R0	Q494R0
P26196	P26196
Q9P2X0	Q9P2X0
P34810	P34810
Q96RK4	Q96RK4
Q16342	Q16342
Q8WXD2	Q8WXD2
M9MML0	M9MML0
Q96AQ1	Q96AQ1
Q6ZSG2	Q6ZSG2
Q15813	Q15813
Q9GZV3	Q9GZV3
P55789	P55789
P01562	P01562
Q9Y5W5	Q9Y5W5
P55058	P55058
Q99685	Q99685
Q8TA90	Q8TA90
A7E2V4	A7E2V4
I3L182	I3L182
A8K855	A8K855
O43172	O43172
Q9UJ96	Q9UJ96
Q9HCM1	Q9HCM1
Q8NCL9	Q8NCL9
O15533	O15533
Q99677	Q99677
Q59EK9	Q59EK9
Q9BZK3	Q9BZK3
Q5TFG8	Q5TFG8
Q96FJ0	Q96FJ0
Q8N6K0	Q8N6K0
P08311	P08311
Q96CB2	Q96CB2
O75525	O75525
Q9HC44	Q9HC44
Q13214	Q13214
Q9P283	Q9P283
Q96J86	Q96J86
Q92685	Q92685
Q9UK99	Q9UK99
O95447	O95447
Q8IUE6	Q8IUE6
Q92604	Q92604
Q9Y2I8	Q9Y2I8
Q9BT40	Q9BT40
Q96P56	Q96P56
Q5JXX7	Q5JXX7
Q06520	Q06520
Q96E11	Q96E11
J3KNZ9	J3KNZ9
Q9UKV8	Q9UKV8
O60725	O60725
P02652	P02652
Q9UL33	Q9UL33
Q9NX58	Q9NX58
Q86UF4	Q86UF4
Q9P2F9	Q9P2F9
P05160	P05160
Q15031	Q15031
Q8N5S3	Q8N5S3
A6NIX2	A6NIX2
Q96F87	Q96F87
Q14157	Q14157
Q99583	Q99583
Q96NX9	Q96NX9
O60477	O60477
P14854	P14854
P98164	P98164
Q6SPF0	Q6SPF0
P02489	P02489
P78426	P78426
Q9H9S0	Q9H9S0
A8MV65	A8MV65
Q9UK85	Q9UK85
P55773	P55773
Q8TBF4	Q8TBF4
A4D0V7	A4D0V7
P82933	P82933
Q01081	Q01081
O95983	O95983
Q9BVH7	Q9BVH7
Q8TEQ8	Q8TEQ8
Q96BQ3	Q96BQ3
Q96EY9	Q96EY9
Q9H972	Q9H972
P31268	P31268
Q9Y2E8	Q9Y2E8
Q9UJT9	Q9UJT9
Q5XUX0	Q5XUX0
O43734	O43734
Q9Y5U9	Q9Y5U9
Q9ULJ8	Q9ULJ8
Q8WXD0	Q8WXD0
B8ZZA8	B8ZZA8
O43306	O43306
Q70Z44	Q70Z44
O14654	O14654
Q7Z3Q1	Q7Z3Q1
Q9NPA1	Q9NPA1
Q8IWV8	Q8IWV8
P62318	P62318
Q96BW5	Q96BW5
Q6PID8	Q6PID8
Q9BVR6	Q9BVR6
P48552	P48552
Q8N9S9	Q8N9S9
Q9BPX5	Q9BPX5
P58166	P58166
P59991	P59991
Q8IZY2	Q8IZY2
Q03518	Q03518
Q9BW04	Q9BW04
Q96HY7	Q96HY7
P49914	P49914
Q8WWB5	Q8WWB5
Q59EL1	Q86XS8
Q9NR33	Q9NR33
Q9NX76	Q9NX76
Q7Z5V6	Q7Z5V6
Q8NE79	Q8NE79
Q9Y3M9	Q9Y3M9
Q14149	Q14149
Q5BKU9	Q5BKU9
O95238	O95238
Q12815	Q12815
Q8WZA2	Q8WZA2
Q9Y6I4	Q9Y6I4
Q8TAS3	Q8TAS3
A0AVF1	A0AVF1
Q9BWW8	Q9BWW8
Q00872	Q00872
Q14C61	Q14C61
P02766	P02766
Q7KZF4	Q7KZF4
Q9P278	Q9P278
P00505	P00505
Q96BD8	Q96BD8
Q92839	Q92839
P53007	P53007
Q9Y3M2	Q9Y3M2
Q6L8G9	Q6L8G9
Q14203	Q14203
O60320	O60320
Q6PKC0	Q6PKC0
Q9NXF1	Q9NXF1
Q9UK28	Q9UK28
P57071	P57071
Q9NZV5	Q9NZV5
O60673	O60673
Q7L592	Q7L592
Q5VWM5	P0DUQ1
Q5VWM5	P0DUQ2
Q8TD91	Q8TD91
P58107	P58107
Q96PN8	Q96PN8
Q92575	Q92575
Q16539	Q16539
P51688	P51688
Q86XI2	Q86XI2
Q96LX7	Q96LX7
P0C7X1	P0C7X1
Q9H9E3	Q9H9E3
Q8IW24	O00471
P01589	P01589
Q8WZ64	Q8WZ64
Q12792	Q12792
Q5VVJ2	Q5VVJ2
Q9NX09	Q9NX09
Q9UQ84	Q9UQ84
Q9Y227	Q9Y227
O43633	O43633
Q59F94	Q59F94
B3KSH4	B3KSH4
P33764	P33764
Q5QNW6	Q5QNW6
P15259	P15259
Q9Y230	Q9Y230
Q5NE16	Q5NE16
Q96M69	Q96M69
J3QT77	J3QT77
P16591	P16591
Q7Z3Y4	Q7Z3Y4
Q96ME7	Q96ME7
Q8N7B6	Q8N7B6
Q8TF39	Q8TF39
K7EMM4	K7EMM4
Q6ZUM4	Q6ZUM4
Q9BS26	Q9BS26
P08118	P08118
Q8N661	Q8N661
O00425	O00425
Q92750	Q92750
D3DTT2	Q8N9R6
E9PGT6	E9PGT6
Q68CZ1	Q68CZ1
A0A0C4DGH3	A0A0C4DGH3
A4FVC0	A4FVC0
Q86UP8	Q86UP8
Q15019	Q15019
Q8WW52	Q8WW52
P17568	P17568
Q96HW7	Q96HW7
Q9BRJ2	Q9BRJ2
H3BQL7	H3BQL7
Q15583	Q15583
Q9BT09	Q9BT09
Q14697	Q14697
P00540	P00540
Q9BXJ9	Q9BXJ9
Q13362	Q13362
Q8TEJ3	Q8TEJ3
Q7Z5H4	Q7Z5H4
Q9Y3N9	Q9Y3N9
F8W7S1	F8W7S1
P24530	P24530
Q96CX2	Q96CX2
Q9UNH5	Q9UNH5
Q8TE73	Q8TE73
Q15147	Q15147
Q8IWZ5	Q8IWZ5
Q8N954	Q8N954
Q9BUL8	Q9BUL8
Q96A49	Q96A49
O60299	O60299
Q9NYQ6	Q9NYQ6
Q9NSK0	Q9NSK0
P38919	P38919
I3L4J3	Q7Z3B3
F5H284	F5H284
E5RIH5	E5RIH5
Q969N4	Q969N4
P43351	P43351
O15127	O15127
Q9NZH8	Q9NZH8
P62917	P62917
P25054	P25054
Q8NEM0	Q8NEM0
Q86VN1	Q86VN1
Q9BUG6	Q9BUG6
O60825	O60825
Q8NDX9	Q8NDX9
D3DS95	D3DS95
Q8NEV8	Q8NEV8
Q76MU0	Q76MU0
Q9H478	Q9H478
Q14562	Q14562
Q6ZT36	Q6ZT36
Q8WXF0	Q8WXF0
Q8WU79	Q8WU79
Q9NS39	Q9NS39
Q8NBQ5	Q8NBQ5
P02792	P02792
Q9HC97	Q9HC97
Q13574	Q13574
Q6FHT8	Q6FHT8
P11488	P11488
Q96PZ0	Q96PZ0
Q8IX01	Q8IX01
O60282	O60282
